FIPS,MARKET_VALUE,Per_Crop_Sales,Per_Grain_Mark_Val,Per_Cotton_Mark_Val,Per_Other_Crop_Mark_Val,Per_Veg_Sale_Mkt_Val,Per_Fruit_Sales_Mkt_Val,Per_Nursery_Sales_Val,Per_Cut_Tree_Sales_Val,Per_Ani_Sales_Mark_Val,Per_Poul_Sales_Mark_Val,Per_Milk_Sales_Mrk_Val,Per_Cattle_Sales_Mrk_Val,Per_Hog_Sales_Mrk_Val,Per_Sheep_Sales_Mrk_Val,PER_AQ_SALES,PER_EQ_SALES,PER_SP_AN_SALES,Per_Cropland_Manure,Cattle_Operations,Milk_Operations,Poul_Total_Oper,Hog_Oper,TOT_SHEEP_Oper,EQUI_OPER,TOT_AQUA_OPER
5093,300927000,99.97,70.07,24.93,4.2,0.38,0.04,0.35,0,0.03,0,0,0.02,0,0.01,0,0,0.01,0.06,12,0,0,0,2,7,0
5095,103670000,96.36,93.06,2.24,0.04,0.5,0.5,0.02,0,3.64,0.5,0,0.06,0,0,3.08,0,0,2.96,14,0,2,0,0,0,1
5097,27775000,3.35,0,0,2.96,0.09,0.08,0.09,0,96.65,59.69,0,22.28,13.38,0.98,0.31,0.01,0.01,24.71,286,0,47,19,20,3,1
5099,55719000,2.76,0,0,2.38,0.28,0.05,0.05,0,97.24,84.21,0,12.99,0.01,0.03,0.01,0.01,0.01,25.67,213,0,47,9,23,2,0
5101,23985000,3.58,0,0,2.63,0.25,0.35,0.35,0,96.42,53.17,0,28.02,15,0.2,0,0.03,0,52.41,412,0,32,6,26,7,0
5103,11339000,3.05,0,0,2.54,0.2,0.15,0,0.16,96.95,85.04,0,11.48,0.2,0.22,0,0.01,0,18.34,103,0,32,6,25,3,0
5105,56112000,21.77,3.99,0,1.22,0.03,0.16,16.37,0,78.23,70.76,0,7.27,0.08,0.06,0,0.05,0.02,25.23,277,0,63,11,18,6,0
5107,189709000,99.85,88.47,10.66,0.1,0.15,0.47,0,0,0.15,0.05,0,0.1,0,0,0,0,0,1.69,14,0,1,0,0,0,0
5109,106510000,0.94,0,0,0.93,0.01,0,0,0,99.06,88.76,0,9.12,1.1,0.07,0,0.01,0,78.84,277,0,89,4,2,11,0
5111,185793000,99.42,89.16,10.14,0.04,0.04,0.04,0,0,0.58,0,0,0.51,0,0,0,0.04,0.03,0.67,66,0,17,10,12,2,0
5113,158999000,1.06,0,0,1.03,0.01,0.02,0,0,98.94,89.72,0,8.58,0.03,0.3,0,0.03,0,61.67,542,0,109,15,44,24,4
5115,169798000,5.79,4.24,0,1.38,0.02,0.07,0.05,0.03,94.21,84.31,0,8.71,1.05,0.07,0,0.06,0.01,35.41,580,0,140,19,72,45,0
5117,127119000,93,92.35,0.32,0.32,0,0,0,0,7,0,0,0.56,0.01,0,6.43,0,0.01,2.72,50,0,0,4,6,3,9
5119,20276000,81.1,73.51,0,1.91,1.1,3.12,1.29,0.17,18.9,8.73,0,8.66,0.14,0.12,0.5,0.02,0.73,7.67,133,0,47,12,33,27,1
5121,157008000,25.73,23.95,0,1.51,0.03,0.03,0.21,0,74.27,63.65,0,10.4,0.02,0.07,0,0.01,0.12,16.66,467,0,66,17,28,23,0
5123,125868000,99.71,85.34,12.05,0.06,2,0,0.01,0.25,0.29,0.1,0,0.1,0,0.01,0,0.04,0.04,2.39,47,0,4,0,3,4,0
5125,8158000,13.15,0,0,11.09,1.21,0.19,0.33,0.33,86.85,0.7,3.52,27.12,0.03,0.98,0.01,52.61,1.88,11.95,196,1,43,5,38,17,2
5127,136653000,1.19,0,0,1.1,0.01,0.08,0,0,98.81,94,0,4.75,0.01,0.01,0,0.04,0.01,24.07,341,0,84,5,12,19,0
5129,18024000,7.38,0,0,6.96,0.05,0.37,0.01,0,92.62,12.78,0.5,78.64,0.5,0.12,0,0.04,0.04,14.7,503,2,47,11,20,15,0
5131,118375000,1.41,0.49,0,0.8,0.06,0,0.06,0,98.59,90,0,8.36,0.01,0.05,0,0.16,0.01,34.56,467,0,104,3,39,31,0
5133,230795000,0.53,0.0033,0,0.48,0.04,0.0033,0.0033,0,99.47,89.29,0.02,4.84,5.06,0.02,0,0.05,0.18,77.74,411,1,123,30,5,17,0
5135,146870000,1.1,0,0,0.83,0.25,0.01,0.01,0.01,98.9,89.94,0,8.78,0.04,0.04,0,0.06,0.04,22.02,436,0,89,16,43,22,0
5137,60193000,1.59,0,0,1.23,0.01,0.33,0,0.02,98.41,61.84,0,36.15,0.2,0.09,0,0.06,0.07,30.25,381,0,55,14,32,20,0
5139,16166000,3.7,0,0,2.6,0.38,0.36,0.36,0,96.3,86.53,0,9.29,0.1,0.15,0,0.15,0.08,10.86,154,0,43,10,23,12,0
5141,16347000,6.57,0,0,6.17,0.22,0.09,0.09,0,93.43,28.1,0,64.01,0.14,0.1,0,1.08,0,21.72,462,0,53,3,29,35,0
5143,509256000,1.52,0.05,0,0.83,0.12,0.12,0.4,0,98.48,89.64,0.15,8.31,0.2,0.03,0,0.11,0.04,44.56,"1,567",3,319,36,133,95,0
5145,124715000,27.41,21.18,0,2.64,0.5,1.08,2.01,0,72.59,59.99,0.91,11.29,0.03,0.2,0,0.15,0.02,9.21,913,12,150,30,118,59,0
5147,113289000,95.98,94.38,0.2,0.2,1.1,0.1,0,0,4.02,0.5,0,3,0.5,0,0.01,0,0.01,5.79,14,0,2,2,0,0,1
5149,268127000,2.25,1.28,0,0.94,0.01,0,0.02,0,97.75,90.09,0.01,4.64,2.99,0.02,0,0.01,0.01,60.78,506,1,139,14,15,15,0
17001,269421000,73.24,71.53,0,0.94,0.11,0.1,0.56,0,26.76,0.02,1.87,8.97,15.79,0.07,0,0.03,0.01,3.15,464,14,24,50,35,16,0
17003,16618000,98.48,97.49,0,0.5,0,0.49,0,0,1.52,0.02,0,1.44,0.02,0.04,0,0,0,0.51,30,0,9,1,9,0,0
17005,84751000,89.65,88.69,0,0.34,0.09,0.05,0.08,0.4,10.35,0.04,5.55,4.35,0.23,0.15,0,0.02,0.01,4,181,15,49,21,44,8,0
17007,78416000,75.53,65.83,0,0.59,2.05,1.11,5.87,0.08,24.47,0.09,12.11,1.93,9.87,0.3,0,0.15,0.02,3.26,117,16,39,39,39,13,0
17009,49839000,78.56,77.01,0,1.2,0.35,0,0,0,21.44,0.02,1.34,5.24,14.69,0.01,0,0.14,0,3.96,107,3,3,13,10,5,0
17011,359973000,89.37,74.03,0,0.28,0.06,0,15,0,10.63,0.5,0.08,3.03,6.91,0.04,0,0,0.07,1.52,166,3,35,27,21,13,0
17013,38671000,72.78,66.76,0,0.69,0.34,4.66,0.33,0,27.22,0.02,0.2,4.84,22.06,0.05,0,0.05,0,1.67,127,1,9,21,3,1,0
17015,216845000,69.02,61.19,0,0.75,6.26,0.04,0.75,0.03,30.98,0.5,3.27,17.23,9.89,0.08,0,0.01,0,7.79,169,15,14,19,23,10,0
17017,121877000,79.19,78.56,0,0.13,0.16,0.13,0.11,0.1,20.81,0,0,2.66,18.13,0.01,0,0.01,0.01,0.54,74,0,6,17,5,2,0
17019,375550000,96.16,95.16,0,0.19,0.28,0.06,0.49,0,3.84,0.12,0.11,1.93,1.07,0.09,0,0.09,0.42,0.56,100,1,37,21,33,23,0
17021,278717000,90.72,90.56,0,0.12,0.02,0.02,0.01,0.01,9.28,0,0,0.63,8.59,0.05,0,0.01,0,0.68,114,0,15,20,18,6,0
17023,163309000,73.89,73.61,0,0.07,0.02,0.09,0.1,0,26.11,1.5,0,0.94,23.6,0.02,0,0.04,0.01,1.43,130,0,15,18,18,20,0
17025,116114000,86.95,86.55,0,0.13,0.02,0.13,0.12,0,13.05,0.01,0.23,3.37,9.2,0.06,0,0,0.18,7.06,139,2,14,21,15,5,0
17027,246971000,45.1,39.59,0,0.29,0.02,0.1,5.1,0,54.9,9.03,20.34,9,16.41,0.07,0.01,0.01,0.02,7.44,246,66,17,29,29,12,1
17029,133942000,95.69,95.16,0,0.37,0.03,0.01,0.12,0.01,4.31,0.01,0.32,1.62,2.32,0.03,0,0.01,0.01,1.06,93,4,6,15,15,8,0
17031,19690000,89.52,15.3,0,0.61,24,0.35,48.76,0.5,10.48,0.13,0,0.28,0.03,0.08,0.02,8.12,1.82,5.6,17,0,28,8,13,27,5
17033,108442000,90.44,89.97,0,0.41,0.03,0,0.03,0,9.56,3.5,0,2.44,3.49,0.04,0.05,0.03,0.02,1.96,76,0,18,17,14,7,3
17035,120625000,65.32,56.19,0,0.13,0.75,0.75,7.5,0,34.68,0.01,10.5,1.94,22.14,0.05,0,0.03,0.01,4.49,136,17,16,25,34,16,0
17037,384186000,60.91,59.04,0,0.23,0.65,0.33,0.33,0.33,39.09,0.22,0.89,11.38,26.33,0.22,0,0.01,0.04,5.17,116,5,46,54,26,6,0
17039,120393000,91.63,91.39,0,0.1,0.05,0.03,0.03,0.03,8.37,0.02,0,1.2,7,0.02,0,0.03,0.1,0.68,73,0,28,11,11,16,0
17041,159533000,93.86,93.25,0,0.41,0.15,0.01,0.03,0,6.14,0.29,1.64,3.1,0.5,0.14,0.01,0.4,0.06,1.41,74,18,47,13,37,50,2
17043,3879000,97.55,12.99,0,0.25,13.74,0.63,69.93,0,2.45,0.06,0,0.11,0.03,0.03,0,0.77,1.42,2.39,7,0,7,1,1,3,0
17045,223816000,82.93,80.82,0,0.11,0.5,0.5,0.5,0.5,17.07,0.5,0.5,1.99,14,0.06,0,0.01,0.01,0.4,84,1,6,15,17,1,0
17047,61064000,76.16,75.91,0,0.09,0,0.09,0.07,0,23.84,0.01,0,2.04,21.75,0.02,0,0.03,0.01,4.65,59,0,7,13,10,7,0
17049,195062000,64.75,64.19,0,0.17,0.18,0.02,0.19,0,35.25,0.06,7.2,9.01,18.86,0.07,0,0.03,0.02,7.68,348,36,34,35,35,15,0
17051,164932000,88.85,84.55,0,0.52,0.69,0.07,3.02,0,11.15,0.01,2.69,5.65,2.5,0.21,0.03,0.03,0.03,1.78,330,17,35,11,58,14,1
17053,190738000,83.08,82.69,0,0.11,0.06,0.06,0.08,0.08,16.92,0.14,0.14,2.39,13.89,0.32,0,0.02,0.02,2.38,45,1,9,18,14,2,0
17055,83714000,77.56,76.11,0,0.61,0.14,0.03,0.67,0,22.44,5.78,2.53,4.27,9.69,0.03,0,0.1,0.03,2.98,163,6,10,10,20,18,0
17057,220374000,77.01,76.35,0,0.57,0.02,0.05,0.02,0,22.99,0.03,0.02,15.91,6.92,0.06,0,0.02,0.02,2.91,292,1,33,22,41,15,0
17059,92389000,97.85,97.73,0,0.06,0.05,0,0.01,0,2.15,0,0,2.1,0,0.01,0.03,0.01,0,0.16,37,0,0,0,6,4,1
17061,183352000,78.66,78.1,0,0.37,0.02,0.15,0.02,0,21.34,0,0.02,6,15,0.01,0,0.15,0.16,1.79,242,2,13,10,14,2,0
17063,135462000,97.6,97.31,0,0.05,0.13,0.06,0.05,0,2.4,0.01,0.4,0.74,1.12,0.01,0,0.07,0.05,0.28,53,2,24,17,6,5,0
17065,86246000,95.14,94.61,0,0.38,0.06,0.06,0.03,0,4.86,0.13,0,0.45,3.8,0.01,0,0.02,0.45,0.21,54,0,9,3,8,5,0
17067,320248000,69.7,69.31,0,0.31,0.02,0.04,0.02,0,30.3,0,0.01,7.5,22.53,0.01,0,0.02,0.23,3.33,348,1,12,40,24,17,0
17069,5630000,NA,NA,0,5.72,0,0.5,0,0,NA,0.03,NA,NA,0,NA,NA,0.43,NA,2.39,60,1,4,0,2,11,4
17071,122332000,83.36,82.68,0,0.37,0.15,0.16,0,0,16.64,0.01,0.7,6.96,8.84,0.11,0,0.01,0.01,2.84,167,5,21,13,17,4,0
17073,352993000,77.2,76.39,0,0.41,0.17,0.03,0.17,0.03,22.8,0.01,0,9.33,13.17,0.27,0,0.01,0.01,2.86,279,0,33,68,77,16,0
17075,420538000,84.36,83.86,0,0.18,0.03,0.01,0.27,0,15.64,4.84,0.5,6.24,3.95,0.04,0,0.07,0,2.35,216,6,27,35,31,10,0
17077,87174000,85.91,82.16,0,0.92,0.33,0.96,1.2,0.34,14.09,1.17,5.28,3.77,2.03,0.06,1.65,0.08,0.05,2.69,228,17,48,24,22,12,3
17079,165883000,61.6,61.24,0,0.06,0.06,0.13,0.05,0.06,38.4,0.02,3.81,4.24,30.11,0.07,0,0.07,0.08,3.43,196,10,20,44,9,27,0
17081,94625000,82.82,79.3,0,1.52,0.29,0.1,1.6,0,17.18,3.55,1.5,5.95,5.91,0.05,0,0.21,0.01,1.53,364,16,33,23,25,17,0
17083,82076000,95.27,93.1,0,0.72,0.42,0.41,0.61,0.01,4.73,0.15,0.15,4.22,0.05,0.1,0,0.05,0.01,0.84,147,1,31,22,22,16,0
17085,151913000,65.05,60.74,0,3.25,0.44,0.19,0.37,0.06,34.95,0.18,12.29,20.62,1.63,0.1,0,0.07,0.07,9.51,427,35,27,18,33,14,0
17087,18169000,80.02,67.63,0,4.05,2,3,2.66,0.68,19.98,0.22,0.22,17.36,1.53,0.47,0,0.09,0.09,2.01,239,2,25,19,20,21,0
17089,181278000,84.77,46.46,0,1.28,2.08,0.28,34.56,0.11,15.23,0.22,1.39,2.53,9.53,0.22,0,0.76,0.58,1.89,77,13,45,13,23,39,0
17091,221136000,91.26,75.21,0,2.73,5.62,0.03,7.64,0.03,8.74,5.88,0.5,0.62,1.5,0.07,0,0.04,0.12,1.94,68,3,44,18,20,6,6
17093,101617000,92.38,76.32,0,0.51,2.56,0.15,12.69,0.15,7.62,0.06,0.5,4.99,2,0.01,0,0.01,0.05,1.06,39,1,30,5,13,7,0
17095,284406000,78.45,77.71,0,0.7,0.02,0.01,0.01,0,21.55,0.02,0,5.77,15.64,0.02,0,0.05,0.05,2.69,245,0,17,48,26,7,0
17097,39068000,85.19,17.74,0,1.69,5.63,0.36,59.74,0.02,14.81,0.65,5.5,2.01,0.02,0.11,0,3.22,3.3,5.9,14,1,37,10,12,21,0
17099,370945000,94.13,90.56,0,0.29,1.08,0.01,2.19,0.01,5.87,0.01,0,3.69,1.69,0.26,0.2,0.01,0.01,1.55,211,0,46,34,59,8,1
17101,156361000,71.44,68.17,0,0.08,3,0.03,0.16,0,28.56,8.88,0.11,1.03,18.51,0.03,0,0.01,0.01,4.44,56,3,19,17,6,4,0
17103,278873000,89.76,84.3,0,0.23,0.43,0.4,3.9,0.5,10.24,0.59,0.02,3.54,6.06,0.02,0,0,0.01,1.86,170,3,45,40,17,4,0
17105,408373000,85.25,84.69,0,0.13,0.03,0,0.4,0,14.75,0.2,1.48,2.67,10.3,0.08,0,0.02,0,2.9,189,16,28,60,35,9,0
17107,245683000,90.51,90.15,0,0.05,0.19,0.06,0.05,0.01,9.49,0,0,0.65,8.66,0.02,0,0.15,0.01,1.76,97,0,12,29,19,8,0
17109,214064000,82.9,82.13,0,0.41,0.06,0,0.28,0.02,17.1,0.01,0,4.18,12.7,0.16,0,0.02,0.02,2.57,254,0,31,24,49,7,0
17111,163752000,75.33,53.32,0,1.76,4.61,0.93,13.94,0.76,24.67,0.43,6.08,13.17,2.64,0.49,0.02,0.75,1.1,2.99,175,27,113,39,46,42,1
17113,457062000,85.03,84.47,0,0.22,0.12,0.01,0.21,0.01,14.97,0.02,6,0.95,7.97,0.02,0,0.01,0.01,1.87,179,8,36,40,38,7,0
17115,180004000,97.73,95.64,0,0.15,0.05,0.07,1.2,0.62,2.27,0,0,2.06,0,0.02,0,0.1,0.09,0.46,67,0,7,5,10,9,0
17117,236494000,82.62,81.89,0,0.36,0.01,0.18,0.16,0.02,17.38,0.03,2.52,5.69,9.07,0.03,0,0.02,0.02,1.78,307,7,41,17,22,9,0
17119,174703000,89.86,83.46,0,0.6,3.61,0.18,2.01,0,10.14,0.02,3.82,4.35,1.5,0.07,0,0.35,0.03,1.73,298,11,32,15,32,42,0
17121,111852000,70.83,69.86,0,0.61,0.11,0.05,0.15,0.05,29.17,14.4,0,7.03,7.5,0.02,0,0.17,0.05,1.4,204,0,39,14,11,8,0
17123,119546000,96.72,94.92,0,0.29,0.94,0.57,0.01,0.01,3.28,0.03,0.34,2.53,0.03,0.34,0,0.01,0,1.43,85,2,36,7,11,3,0
17125,192915000,88.89,82.85,0,0.17,5.71,0,0.16,0,11.11,0,0,0.77,10.3,0.01,0.01,0,0.02,0.72,81,0,4,13,6,0,1
17127,45840000,86.5,85.05,0,0.5,0.05,0.9,0,0,13.5,0.01,0,13.04,0.02,0.35,0,0.08,0.01,0.44,134,0,13,6,19,7,0
17129,89655000,93.15,92.32,0,0.55,0.01,0.07,0.2,0,6.85,0.01,0,4.73,2.03,0.06,0,0.01,0.01,1.63,91,0,6,7,8,5,0
17131,217524000,71.91,71.37,0,0.51,0.01,0.01,0.01,0.01,28.09,0.01,0.01,2.24,25.75,0.02,0,0.05,0.01,2.22,181,1,17,46,10,18,0
17133,88151000,74.54,70.91,0,0.26,1.12,0.25,2,0,25.46,0.04,8.24,3.51,13.58,0.06,0,0.03,0,2.57,175,7,29,15,19,5,0
17135,263034000,85.59,85.25,0,0.23,0.02,0.01,0.09,0.01,14.41,0.01,1,1.85,11.46,0.05,0,0.04,0,1.6,209,6,29,29,59,8,0
17137,172017000,88.54,88.16,0,0.29,0.02,0.05,0.02,0,11.46,0.05,0.34,4.23,6.79,0.01,0,0.04,0.01,0.97,169,3,18,20,12,3,0
17139,141160000,93.62,92.37,0,0.23,0.67,0.02,0.33,0,6.38,1.08,1.71,2.92,0.24,0.06,0,0.33,0.04,2.24,100,20,35,8,20,40,0
17141,276378000,75.38,69.65,0,0.53,0.46,0.01,4.73,0.01,24.62,0.16,1.68,11.78,10.91,0.04,0,0.02,0.03,4.53,278,8,61,44,26,20,0
17143,145196000,90.59,86.91,0,0.55,1.54,0.41,1.13,0.06,9.41,0.04,3,3.05,3,0.04,0.15,0.08,0.05,2.71,175,3,41,23,26,8,1
17145,66326000,92.27,91.64,0,0.28,0.05,0.27,0.03,0,7.73,0.1,1.1,6.16,0.11,0.15,0.02,0.04,0.05,1.05,178,2,17,17,10,2,1
17147,165286000,99.5,99.35,0,0.11,0.03,0.01,0.01,0.01,0.5,0.02,0,0.38,0.01,0.02,0,0.05,0.02,0.47,42,0,15,10,9,11,0
17149,278870000,64.75,61.04,0,0.47,0.12,0.12,3,0,35.25,0.02,0.02,2.53,32.6,0.04,0,0.02,0.02,3.38,284,1,12,70,19,11,0
17151,8856000,76.55,72.37,0,3.74,0.2,0.2,0.04,0,23.45,0.61,0,18.89,0,0.02,0,3.9,0.03,6.06,93,0,13,0,7,16,0
17153,40060000,96.76,92.65,0,0.28,3.48,0.21,0.07,0.07,3.24,0.01,0,3.11,0,0.07,0,0.04,0.01,0.23,53,0,10,6,13,2,0
17155,58162000,NA,NA,0,0.11,0.75,0.23,NA,0,NA,0.01,0,NA,NA,NA,0,NA,NA,1.14,12,0,4,2,2,2,0
17157,98480000,85.73,84.93,0,0.62,0.12,0.03,0.03,0,14.27,1.11,3.69,6.26,3.09,0.05,0,0.04,0.03,1.52,287,12,41,18,40,9,0
17159,119796000,57.58,57.27,0,0.24,0.03,0.02,0.02,0,42.42,11.76,3.4,4.7,21.94,0.24,0,0.09,0.29,1.76,118,1,26,36,14,12,0
